Item,quantity,Mouser part number,Unit price(USD)
Jack 3.5mm 5 pins connector,1,490-SJ1-3525N,0.89
Coin cell battery holder,2,534-106,1.18
JST-SH 4 pins vertical connector,2,485-4328,3.95
Adafruit Trinket M0,1,485-3500,8.95
Adafruit slide switch,1,485-805,0.95
Adafruit monochrome 128x32 oled display,1,485-4440,12.50
Adafruit soil moisture sensor,1,485-4026,7.50
Adafruit JST-SH 4 pins cable 50mm,1,485-4399,0.95
Adafruit JST-PH to JST-SH 4 pins cable 200mm,1,485-4424,0.95
M2.5x6mm screw,3,534-29301,0.48
M2.5x16mm screw,2,534-29306,0.47
M2.5 nut,5,144-04M025045HN,0.13